# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
gan zhi 	感知	c=2 d=1 t=16002
gan zhi dao 	感知到	c=4 d=1 t=25880
gang 	剛	c=3 d=1 t=21861
gang he 	剛合	c=1 d=1 t=22449
gang qi chuang 	剛起牀	c=1 d=1 t=7812
gang sheng ji 	剛升級	c=2 d=1.41271 t=13746
gao 	搞	c=6 d=1.0034 t=14673
gao 	稿	c=3 d=2.50193 t=6536
gao 	高	c=0 d=0.1 t=6957
gao chu 	搞出	c=0 d=0.1 t=9172
gao chu lai 	搞出來	c=1 d=1 t=25117
gao chu le 	搞出了	c=1 d=1 t=9173
gao dai ma 	高代碼	c=2 d=1.99501 t=6959
gao dao 	搞到	c=1 d=1 t=20529
gao deng 	高等	c=1 d=1 t=9793
gao gui de 	高貴的	c=1 d=1 t=9347
gao hai tao 	高海濤	c=1 d=1 t=320
gao ji 	高級	c=0 d=0.1 t=2333
gao ji mo shi 	高級模式	c=1 d=1 t=2334
gao jing 	告警	c=17 d=1.21274 t=26431
gao le 	搞了	c=2 d=1.00003 t=10861
gao su 	告訴	c=1 d=1 t=13597
gao su 	高速	c=2 d=1 t=13596
gao wan 	搞完	c=0 d=0.1 t=22010
gao wan le 	搞完了	c=1 d=1 t=22011
gao wei 	高位	c=2 d=1.29671 t=25267
gao xing 	高興	c=1 d=1 t=22921
gao ya xian 	高壓線	c=1 d=1 t=13607
gao yi dian 	高一點	c=1 d=1 t=2539
gao yu 	高於	c=1 d=1 t=27331
gao zhi 	告知	c=2 d=1.97045 t=8583
gao zhi liang 	高質量	c=1 d=1 t=27419
gao zhong 	高中	c=0 d=0.1 t=20323
gao zhong zheng yi 	高中正義	c=2 d=1.99501 t=20325
ge 	個	c=56 d=1.15182 t=27093
ge 	各	c=3 d=1 t=23701
ge 	哥	c=0 d=0.1 t=24850
ge 	歌	c=3 d=1.75201 t=9188
ge 	鴿	c=2 d=1 t=25171
ge bi 	隔壁	c=2 d=1.9802 t=7925
ge bu lin 	哥布林	c=1 d=1 t=5541
ge dan 	歌單	c=1 d=1 t=14237
ge ge 	個個	c=1 d=1 t=9722
ge ge 	各個	c=4 d=0.852014 t=21526
ge ge jie duan 	各個階段	c=1 d=1 t=21527
ge jie duan 	各階段	c=1 d=1 t=20718
ge kong 	隔空	c=0 d=0.1 t=433
ge kong tou song 	隔空投送	c=1 d=1 t=434
ge li 	隔離	c=2 d=1 t=14568
ge ren 	個人	c=4 d=2.55275 t=9789
ge ren xin xi 	個人信息	c=0 d=0.1 t=11215
ge ren xin xi biao 	個人信息表	c=2 d=1.99501 t=11217
ge shi 	格式	c=7 d=1 t=13387
ge shi ge yang 	各式各样	c=2 d=1 t=5567
ge wei 	各位	c=2 d=1.99501 t=7107
ge you 	各有	c=1 d=1 t=5943
ge zhong 	各種	c=3 d=1 t=5291
ge zi 	各自	c=6 d=1.29696 t=15175
ge zuo 	各做	c=1 d=1 t=23015
gei 	給	c=48 d=1.30681 t=26797
gei chu lai 	給出來	c=1 d=1 t=21005
gei de 	給的	c=1 d=1 t=370
gei ding 	給定	c=1 d=1 t=1829
gei ge 	給個	c=2 d=1.99005 t=6947
gei le 	給了	c=3 d=1.00005 t=26825
gei qian 	給錢	c=0 d=0.1 t=4657
gei shao le 	給少了	c=1 d=1 t=397
gei wan 	給完	c=1 d=1 t=13876
gei wo 	給我	c=5 d=1.2661 t=10110
gei yi ge 	給一個	c=1 d=1 t=16206
gei yi zhang 	給一張	c=1 d=1 t=8040
gei zhe xie 	給這些	c=1 d=1 t=1344
gei zi ji 	給自己	c=3 d=1.06844 t=9030
gen 	跟	c=101 d=3.34184 t=27023
gen ju 	根據	c=53 d=2.1484 t=26818
gen jue 	根絕	c=2 d=1 t=21145
gen ni 	跟你	c=0 d=0.1 t=22636
gen ni de 	跟你的	c=1 d=1 t=22637
gen shen me 	跟什麼	c=1 d=1 t=24870
gen ta 	跟它	c=1 d=1 t=13954
gen wo 	跟我	c=1 d=1 t=7916
geng 	更	c=2 d=0.212478 t=26016
geng 	梗	c=1 d=1.1 t=4755
geng bai ke 	梗百科	c=1 d=1 t=4756
geng da 	更大	c=1 d=1 t=9461
geng duan 	更短	c=1 d=1 t=19046
geng gai 	更改	c=2 d=1 t=24055
geng gai yi xia 	更改一下	c=1 d=1 t=11972
geng hao 	更好	c=3 d=1 t=27267
geng he shi 	更合適	c=1 d=1 t=25924
geng huai 	更壞	c=0 d=0.1 t=16202
geng huai de 	更壞的	c=1 d=1 t=16203
geng huan 	更換	c=1 d=1 t=5135
geng ji shi 	更及時	c=1 d=1 t=26017
geng jia 	更加	c=3 d=1.10177 t=25553
geng jin 	更近	c=1 d=1 t=23113
geng shi he 	更適合	c=1 d=1 t=25085
geng xin 	更新	c=68 d=1.00366 t=26906
geng xin hao le 	更新好了	c=1 d=1 t=16585
geng xin hou 	更新後	c=1 d=1 t=13259
geng xin zhuang tai 	更新狀態	c=2 d=1.97045 t=22861
gong 	供	c=1 d=1 t=732
gong chan dang 	共產黨	c=1 d=1 t=6292
gong cheng 	工程	c=0 d=0.1 t=26488
gong cheng shang 	工程上	c=1 d=1 t=26489
gong dan 	工單	c=1 d=1 t=10249
gong de 	公德	c=0 d=0.199501 t=9305
gong de lin 	公德林	c=2 d=1.99501 t=9306
gong ji 	攻擊	c=2 d=1.68386 t=5744
gong ju 	工具	c=6 d=1.00031 t=19671
gong neng 	功能	c=21 d=2.1073 t=27037
gong neng kuai 	功能塊	c=1 d=1 t=570
gong neng shang 	功能上	c=2 d=1.9802 t=614
gong qing 	共請	c=1 d=1 t=6747
gong shi 	公式	c=2 d=1.98511 t=1112
gong shi 	共識	c=1 d=1 t=8593
gong si 	公司	c=5 d=1.00224 t=24809
gong su 	攻速	c=1 d=1 t=5739
gong tong 	共同	c=2 d=1 t=25851
gong tong 	共通	c=0 d=0.1 t=5927
gong tong dian 	共通點	c=1 d=1 t=5928
gong xian 	貢獻	c=1 d=1 t=7123
gong xiang 	共享	c=10 d=1 t=19817
gong ye jie 	工業界	c=1 d=1 t=26822
gong ying 	供應	c=1 d=1 t=6744
gong ying 	共贏	c=1 d=0.1 t=21181
gong yong 	共用	c=3 d=1.24887 t=3656
gong you 	公有	c=1 d=1 t=18382
gong zhang 	公章	c=1 d=1 t=9676
gong zi 	公子	c=1 d=1 t=484
gong zi 	工資	c=5 d=1.98511 t=12145
gong zuo 	工作	c=9 d=1 t=15568
gong zuo hou 	工作後	c=1 d=1 t=7351
gong zuo liang 	工作量	c=3 d=2.45564 t=27406
gong zuo ri 	工作日	c=1 d=1 t=13473
gou 	勾	c=1 d=1 t=20234
gou 	夠	c=1 d=1 t=18151
gou 	狗	c=1 d=1 t=19173
gou cheng 	構成	c=2 d=1 t=17032
gou jian 	構建	c=3 d=1.62717 t=861
gou zao 	構造	c=24 d=1.18177 t=26764
gou zao chu 	構造出	c=3 d=1 t=27051
gu 	股	c=0 d=0.1 t=1854
gu 	谷	c=1 d=1 t=25613
gu ding 	固定	c=4 d=1 t=17457
gu guo 	故國	c=1 d=1 t=7254
gu ji 	估計	c=3 d=1 t=19409
gu jia 	骨架	c=3 d=1.08341 t=23869
gua 	掛	c=2 d=1 t=21673
gua diao 	掛掉	c=5 d=1 t=22926
gua hao fei 	掛號費	c=1 d=1 t=2558
gua le 	掛了	c=15 d=4.88615 t=21754
guai 	怪	c=2 d=1 t=24940
guai bu de 	怪不得	c=1 d=1 t=18348
guai guai 	怪怪	c=2 d=1 t=23674
guai tan 	怪談	c=1 d=1 t=3477
guai wu 	怪物	c=1 d=1 t=5890
guan 	管	c=1 d=0.1 t=26832
guan 	關	c=2 d=1 t=19456
guan bi 	關閉	c=33 d=1.43411 t=27293
guan ce 	觀測	c=9 d=5.0825 t=22828
guan ce dao 	觀測到	c=5 d=1.98026 t=24671
guan cha 	觀察	c=14 d=3.01015 t=26154
guan cha le 	觀察了	c=1 d=1 t=13348
guan cha yi xia 	觀察一下	c=1 d=1 t=8377
guan diao 	關掉	c=1 d=1 t=21742
guan jian 	關鍵	c=6 d=1 t=25097
guan jian lei 	關鍵類	c=1 d=1 t=730
guan kong 	管控	c=1 d=1 t=22481
guan le 	關樂	c=1 d=1 t=18889
guan li 	管理	c=47 d=1.19506 t=24775
guan li qi 	管理器	c=1 d=1 t=7159
guan li yuan 	管理員	c=1 d=1 t=2530
guan li zhe 	管理着	c=1 d=1 t=11278
guan men 	關門	c=1 d=1 t=8274
guan xi 	關係	c=16 d=1.32472 t=27057
guan yu 	關於	c=15 d=3.85013 t=27392
guan zhu 	關注	c=7 d=1 t=25493
guang 	光	c=1 d=1 t=24551
guang 	廣	c=1 d=1 t=5224
guang dong 	廣東	c=1 d=1 t=4395
guang zhou 	廣州	c=2 d=1 t=18401
gui 	貴	c=1 d=0.331078 t=9100
gui chui deng 	鬼吹燈	c=1 d=1 t=14245
gui dao 	軌道	c=2 d=1.91851 t=8005
gui fan 	規範	c=1 d=1 t=10991
gui hua 	規劃	c=1 d=1 t=6969
gui ji 	軌跡	c=1 d=1 t=25617
gui le 	貴了	c=1 d=1 t=20257
gui le dian 	貴了點	c=1 d=1 t=5026
gui lei 	歸類	c=1 d=1 t=22356
gui lin 	桂林	c=1 d=1 t=9342
gui ze 	規則	c=62 d=3.85682 t=26004
guo 	過	c=4 d=1.00119 t=14419
guo 	郭	c=1 d=1 t=13525
guo bu liao 	過不了	c=1 d=1 t=20193
guo che 	過車	c=1 d=1 t=17372
guo cheng 	過程	c=15 d=0.405746 t=25383
guo cheng zhong 	過程中	c=2 d=1 t=15358
guo da 	過大	c=2 d=1.91393 t=21432
guo duo 	過多	c=1 d=1 t=21832
guo gao 	過高	c=5 d=1.01742 t=25394
guo guo 	果果	c=1 d=1 t=7495
guo hou 	過後	c=1 d=1 t=16277
guo jiu 	過久	c=1 d=1 t=16418
guo liang 	過量	c=1 d=1 t=25362
guo lv 	過濾	c=0 d=0.1 t=13648
guo man 	過慢	c=1 d=1 t=16428
guo nei 	國內	c=2 d=1 t=25179
guo qi 	果臍	c=1 d=1 t=5922
guo qi 	過期	c=8 d=4.33478 t=24043
guo qu 	過去	c=3 d=2.8696 t=9329
guo shi 	過世	c=1 d=1 t=22607
guo shi 	過時	c=4 d=1 t=21225
guo shi bu 	裹屍布	c=1 d=1 t=19681
guo shui 	國稅	c=1 d=1 t=9717
guo yi bian 	過一遍	c=1 d=1 t=168
guo yi duan 	過一段	c=2 d=1.09778 t=12599
ha gong da 	哈工大	c=2 d=1.0754 t=3407
ha ha 	哈哈	c=1 d=1 t=11128
ha ha ha 	哈哈哈	c=10 d=1 t=20874
hai 	還	c=9 d=1.0071 t=24501
hai bao han 	還包含	c=1 d=1 t=7839
hai bu shi 	還不是	c=0 d=0.1 t=7725
hai chi 	還喫	c=1 d=1 t=1875
hai dei 	還得	c=5 d=1.16203 t=22940
hai fa 	還發	c=1 d=1 t=330
hai hao 	還好	c=0 d=0.1 t=10836
hai hui 	還會	c=4 d=3.40112 t=21755
hai ke yi 	還可以	c=4 d=1 t=20323
hai mei 	還沒	c=6 d=1 t=20853
hai mei fa 	還沒發	c=1 d=1 t=6737
hai mei xie 	還沒寫	c=1 d=1 t=6166
hai mei you 	還沒有	c=7 d=1.98529 t=15566
hai que 	還缺	c=1 d=0.100396 t=24503
hai que le 	還缺了	c=1 d=1 t=24504
hai shi 	還是	c=28 d=1.0443 t=24860
hai tao 	海濤	c=0 d=0.1 t=319
hai wei 	還未	c=3 d=1 t=17256
hai xian 	海鮮	c=1 d=1 t=6116
hai xu yao 	還需要	c=1 d=1 t=15187
hai yao 	還要	c=4 d=1 t=20813
hai yao gai 	還要改	c=1 d=1 t=13929
hai you 	還有	c=12 d=0.197518 t=24879
hai you shen me 	還有什麼	c=1 d=1 t=9071
hai you shui 	還有誰	c=1 d=1 t=395
hai you xiang 	還有像	c=1 d=1 t=24880
hai you yi 	還有以	c=1 d=1 t=20637
hai you yi ge 	還有一個	c=1 d=1 t=2481
hai you yi zhong 	還有一種	c=2 d=1 t=26838
hai zai 	還在	c=9 d=1.25924 t=24083
hai zai zheng 	還在掙	c=1 d=1 t=4680
hai zhi shi 	還只是	c=1 d=1 t=20858
han hai 	漢海	c=1 d=1 t=25610
han hai 	瀚海	c=1 d=1 t=19339
han hua 	漢化	c=3 d=1 t=27348
han shu 	函數	c=34 d=1.00015 t=25643
han yi 	含義	c=5 d=2.95275 t=20417
hang 	行	c=26 d=1.44839 t=27044
hang shu 	行數	c=4 d=2.01266 t=24802
hang suo 	行鎖	c=3 d=1.96561 t=14601
hang zhou 	杭州	c=1 d=1 t=4490
hao 	好	c=29 d=0.10009 t=26803
hao 	號	c=7 d=1.00003 t=19606
hao 	豪	c=1 d=1 t=20047
hao 	郝	c=4 d=1.24405 t=7721
hao chang 	好長	c=1 d=1 t=4748
hao chu 	好處	c=4 d=1.00363 t=25520
hao de 	好的	c=29 d=1.00142 t=26674
hao guai 	好怪	c=1 d=1 t=7097
hao hao 	好好	c=1 d=1 t=25196
hao kan 	好看	c=0 d=0.1 t=273
hao kan de 	好看的	c=1 d=1 t=22420
hao kan dian 	好看點	c=1 d=1 t=274
hao ke ai 	好可愛	c=1 d=1 t=25172
hao kui 	好虧	c=1 d=1 t=6468
hao lao shi 	郝老師	c=2 d=1.03491 t=7780
hao le 	好了	c=3 d=1 t=21711
hao ma 	號碼	c=1 d=1 t=10841
hao ma fan 	好麻煩	c=1 d=1 t=9807
hao miao 	毫秒	c=1 d=1 t=20384
hao nan guo 	好難過	c=1 d=1 t=9366
hao nong 	好弄	c=1 d=1 t=5699
hao shi 	好使	c=3 d=2.42127 t=26817
hao shi 	耗時	c=3 d=1.00665 t=21868
hao shu 	好書	c=1 d=1 t=16914
hao ting 	好聽	c=1 d=1 t=9166
hao wu 	毫無	c=1 d=1 t=7626
hao xian 	號線	c=1 d=1 t=23313
hao xiang 	好像	c=13 d=1.98511 t=27259
hao yao 	好要	c=1 d=1 t=9886
hao yi 	好意	c=0 d=0.1 t=26826
hao yi dian 	好一點	c=1 d=1 t=16045
hao yi jian 	好意見	c=1 d=1 t=26827
hao zai 	好在	c=1 d=1 t=1506
hao zhong 	好重	c=1 d=1 t=8186
he 	何	c=2 d=1.98511 t=9892
he 	合	c=2 d=1.00866 t=6639
he 	和	c=117 d=4.38816 t=26399
he 	喝	c=0 d=0.1 t=6819
he bing 	合併	c=10 d=1 t=26230
he bing diao 	合併掉	c=1 d=1 t=10176
he fa 	合法	c=1 d=1 t=8519
he he 	呵呵	c=1 d=1 t=7725
he le 	喝了	c=0 d=0.1 t=19747
he le bei 	喝了盃	c=1 d=1 t=19748
he li 	合理	c=3 d=1.00015 t=17634
he li xing 	合理性	c=4 d=1 t=19904
he neng 	核能	c=1 d=1 t=24352
he shi 	合適	c=6 d=1.00441 t=27031
he shi 	和勢	c=1 d=1 t=6149
he shi de 	合適的	c=1 d=1 t=25884
he xian 	何顯	c=1 d=1 t=2790
he yong 	合用	c=1 d=1 t=7556
he zhong 	何中	c=0 d=0.1 t=10403
he zhong 	何種	c=1 d=1 t=8069
he zhong lei 	何中磊	c=1 d=1 t=10404
he zu 	合租	c=1 d=1 t=8075
he zuo 	合作	c=1 d=0.1 t=21181
he zuo gong ying 	合作共贏	c=1 d=1 t=21182
hei chan 	黑產	c=1 d=1 t=26307
hei jiao 	黑膠	c=1 d=1 t=9847
hei se 	黑色	c=1 d=1 t=6487
hei shi 	黑石	c=1 d=1 t=1676
hen 	很	c=12 d=1.00443 t=20827
hen bu fu he 	很不符合	c=1 d=1 t=8191
hen da 	很大	c=4 d=1.00163 t=26936
hen dong 	很懂	c=2 d=1 t=7727
hen duan 	很短	c=1 d=1 t=21175
hen duo 	很多	c=12 d=1.00003 t=26826
hen duo fen 	很多份	c=1 d=1 t=7748
hen duo ma 	很多嗎	c=1 d=1 t=3415
hen gan xie 	很感謝	c=3 d=2.70482 t=7364
hen gao 	很高	c=3 d=1.0002 t=26435
hen hao 	很好	c=8 d=1 t=23136
hen hao de 	很好的	c=1 d=1 t=3465
hen jiu 	很久	c=1 d=1 t=8249
hen ke neng 	很可能	c=1 d=1 t=4541
hen lao de 	很老的	c=1 d=1 t=630
hen liao jie 	很瞭解	c=1 d=1 t=8038
hen ling huo 	很靈活	c=1 d=1 t=5484
hen man 	很慢	c=1 d=1 t=6355
hen nan 	很難	c=2 d=1 t=22608
hen nan shou 	很難受	c=1 d=1 t=9212
hen neng 	很能	c=1 d=1.03239 t=26952
hen neng xiang xiang 	很能想象	c=1 d=1 t=26953
hen qiang 	很強	c=3 d=1 t=12411
hen qiang le 	很強了	c=1 d=1 t=3469
hen wen ding 	很穩定	c=1 d=1 t=5024
hen xiang xi 	很詳細	c=1 d=1 t=9897
hen you 	很有	c=1 d=1.07012 t=19746
hen you dong xi 	很有東西	c=1 d=1 t=19676
hen you qu 	很有趣	c=1 d=1 t=5987
hen you yong 	很有用	c=1 d=1 t=27138
hen zhong yao 	很重要	c=1 d=1 t=23083
heng 	哼	c=1 d=1 t=9358
hong 	宏	c=2 d=1 t=27354
hong 	洪	c=1 d=1 t=17939
hong 	虹	c=1 d=1 t=24350
hong di 	弘迪	c=8 d=1.00047 t=26769
hou 	吼	c=1 d=1 t=21823
hou 	後	c=107 d=0.216562 t=26903
hou ban duan 	後半段	c=1 d=1 t=7335
hou lai 	後來	c=1 d=1 t=3447
hou liang xiang 	後兩項	c=1 d=1 t=15044
hou mian 	後面	c=4 d=1 t=25510
hou pai 	後排	c=2 d=1.65705 t=5920
hou qi 	後期	c=1 d=1 t=6311
hou tai 	後台	c=4 d=1.10391 t=20653
hu 	糊	c=1 d=1 t=26790
hu 	胡	c=3 d=2.06536 t=18294
hu ji 	戶籍	c=1 d=0.153665 t=10257
hu ji shen qing biao 	戶籍申請表	c=1 d=1 t=10258
hu kou 	戶口	c=1 d=1 t=9377
hu lian 	互聯	c=1 d=0.1 t=15337
hu lian bao di 	互聯宝地	c=3 d=1 t=23306
hu lian wang 	互聯網	c=1 d=1 t=12375
hu lve 	忽略	c=2 d=1 t=24519
hu ming 	胡明	c=4 d=1.62229 t=18740
hu shi 	忽視	c=2 d=1.12307 t=7050
hu tong 	互通	c=1 d=1 t=4460
hu xiang 	互相	c=1 d=1 t=14567
hu yu long 	胡玉龍	c=1 d=1 t=18295
hu zheng 	戶政	c=1 d=1 t=27029
hu zheng 	胡正	c=1 d=1 t=22672
hu zong 	胡總	c=1 d=1 t=21093
hua 	化	c=6 d=1 t=26585
hua 	畫	c=4 d=2.31759 t=9152
hua 	話	c=42 d=1.99514 t=26965
hua cheng 	畫成	c=1 d=1 t=1193
hua fen 	劃分	c=1 d=1 t=6025
hua wei 	華為	c=6 d=1.29747 t=27422
hua you 	話又	c=1 d=1 t=27074
hua you shuo hui lai 	話又說回來	c=1 d=1 t=24896
huai 	壞	c=5 d=4.40854 t=26522
huai chu 	壞處	c=4 d=1.00396 t=25521
huai lai 	懷來	c=1 d=1 t=11182
huai le 	壞了	c=1 d=1 t=23323
huan 	換	c=1 d=1.09656 t=913
huan 	歡	c=1 d=1 t=4733
huan cheng 	換成	c=1 d=0.1 t=27304
huan cheng le 	換成了	c=1 d=1 t=27305
huan cun 	緩存	c=13 d=1.09823 t=26903
huan cun de 	緩存的	c=1 d=1 t=24499
huan cun le 	緩存了	c=2 d=1.92312 t=4242
huan cun li 	緩存裏	c=1 d=1 t=26900
huan cun qi lai 	緩存起來	c=2 d=1 t=23706
huan cun zai 	緩存在	c=1 d=1 t=23945
huan dao 	換到	c=1 d=1 t=22538
huan dao 	環刀	c=1 d=1 t=22537
huan ge 	歡歌	c=1 d=1 t=4787
huan jie 	環節	c=1 d=1 t=20955
huan jie 	緩解	c=1 d=1 t=26442
huan jing 	環境	c=10 d=1.57121 t=27334
huan ju hua shuo 	換句話說	c=1 d=1 t=26480
huan shi jian 	換時間	c=1 d=1 t=907
huan xing 	環形	c=2 d=1 t=14687
huan ying da jia 	歡迎大家	c=1 d=1 t=16736
huang 	黃	c=1 d=1 t=24818
huang chuan 	荒川	c=1 d=1 t=13456
huang di 	皇帝	c=1 d=1 t=14475
huang xing lu 	黃興路	c=1 d=1 t=19605
huang you 	黃油	c=1 d=1 t=1880
hui 	回	c=4 d=1.66737 t=6785
hui 	會	c=87 d=2.11624 t=27276
hui bao 	回包	c=1 d=1 t=15521
hui bei 	會被	c=6 d=1.00014 t=24807
hui biao 	回表	c=4 d=3.95536 t=9500
hui bu hui 	會不會	c=1 d=1 t=4019
hui chu xian 	會出現	c=1 d=1 t=19275
hui da 	回答	c=3 d=1.00001 t=19892
hui dao 	回到	c=2 d=1 t=18245
hui dao zhi 	會導致	c=3 d=1 t=22887
hui de 	會的	c=1 d=1 t=19771
hui diao 	回調	c=11 d=1.35012 t=11332
hui diao le 	回調了	c=1 d=1 t=10608
hui du 	回度	c=1 d=1 t=26302
hui du 	灰度	c=2 d=1.64082 t=26392
hui fang 	回放	c=7 d=0.112503 t=22755
hui fang chu 	回放出	c=1 d=1 t=21810
hui fang wan 	回放完	c=1 d=1 t=22756
hui fu 	回覆	c=4 d=1.93707 t=17966
hui fu 	恢復	c=2 d=1.23457 t=26460
hui gen ju 	會根據	c=1 d=1 t=2392
hui gu 	回顧	c=1 d=1 t=14432
hui gua diao 	會掛掉	c=1 d=1 t=18494
hui gun 	回滾	c=7 d=1.64082 t=26394
hui guo 	會過	c=0 d=0.1 t=7893
hui guo le 	會過了	c=1 d=1 t=7894
hui guo lv 	會過濾	c=1 d=1 t=13649
hui he 	回合	c=0 d=0.251641 t=5477
hui he shu 	回合數	c=1 d=1 t=5478
hui jian cha 	會檢查	c=1 d=1 t=11926
hui jiang 	會將	c=3 d=1 t=21433
hui kan 	會看	c=0 d=0.1 t=7021
hui kan ni de 	會看你的	c=1 d=1 t=7022
hui lai le 	回來了	c=1 d=1 t=19753
hui qu 	回去	c=1 d=1 t=2350
hui shi 	回事	c=1 d=1 t=6427
hui shi 	會是	c=2 d=1 t=8690
hui sui 	會隨	c=1 d=1 t=26038
hui wei 	會爲	c=1 d=1 t=21358
hui xian 	會先	c=1 d=1 t=21291
hui xiang 	會向	c=1 d=1 t=15286
hui xin 	回信	c=2 d=1.96079 t=10896
hui yan chi 	會延遲	c=1 d=1 t=21463
hui yi 	回憶	c=1 d=0.1 t=7643
hui yi 	會議	c=2 d=1 t=11396
hui yi shi 	會議室	c=6 d=1.99501 t=19641
hui yi yi xia 	回憶一下	c=1 d=1 t=7644
hui ying 	回應	c=1 d=1 t=15550
hui you 	會有	c=11 d=1 t=26374
hui zai 	會在	c=3 d=1.10699 t=21438
hui zeng jia 	會增加	c=1 d=1 t=26105
hui zong 	彙總	c=2 d=1.90937 t=25975
hui zou dao 	會走到	c=1 d=1 t=17999
hui zuo 	會做	c=1 d=1 t=22004
hun 	葷	c=1 d=1 t=9300
huo 	或	c=16 d=1.0094 t=25727
huo 	活	c=0 d=0.1 t=9189
huo de 	獲得	c=10 d=1.00009 t=22184
huo dong 	活動	c=1 d=1 t=6321
huo qu 	獲取	c=1 d=1 t=228
huo re 	火熱	c=1 d=1 t=23920
huo shan 	火山	c=0 d=0.1 t=9887
huo shan yun 	火山雲	c=1 d=1 t=9888
huo yan 	火焰	c=0 d=0.1 t=8883
huo yan tu 	火焰圖	c=3 d=1.99501 t=18139
huo yue 	活躍	c=3 d=1.08737 t=21811
huo yue de 	活躍的	c=1 d=1 t=21785
huo zhe 	或者	c=48 d=1.01246 t=26796
huo zhe 	活着	c=1 d=1 t=7391
ji 	即	c=27 d=1.0004 t=25147
ji 	及	c=4 d=1 t=21156
ji 	寄	c=6 d=1.01563 t=19645
ji 	幾	c=2 d=1 t=10609
ji 	既	c=2 d=1 t=25864
ji 	機	c=2 d=0.1 t=18507
ji 	紀	c=1 d=1 t=17155
ji 	級	c=5 d=1 t=20127
ji 	計	c=1 d=1 t=13562
ji 	記	c=2 d=1 t=16558
ji 	雞	c=1 d=1 t=360
ji ba 	幾把	c=5 d=1.00007 t=27060
ji ben 	基本	c=15 d=1.00632 t=26645
ji ben shang 	基本上	c=1 d=1 t=20408
ji ben shi 	基本是	c=1 d=1 t=5901
ji ben si lu 	基本思路	c=1 d=1 t=11815
ji ben xin xi 	基本信息	c=1 d=1 t=1446
ji bian 	即便	c=1 d=1 t=17906
ji bie 	級別	c=7 d=3.09458 t=20575
ji bie 	记别	c=1 d=1 t=17907
ji bie le 	級別了	c=1 d=1 t=17908
ji chang 	機場	c=6 d=5.66954 t=5043
ji cheng 	繼承	c=5 d=1 t=18383
ji chu 	基礎	c=4 d=1.00016 t=18694
ji ci 	幾次	c=2 d=1.02719 t=11557
ji cuo le 	記錯了	c=1 d=1 t=27234
ji da 	極大	c=1 d=1 t=5784
ji dian 	幾點	c=1 d=1 t=341
ji duan 	極端	c=3 d=0.1 t=26527
ji duan qing kuang 	極端情況	c=1 d=1 t=26528
ji fang 	機房	c=2 d=1.99005 t=11181
ji fen 	幾份	c=1 d=1 t=7757
ji ge 	幾個	c=12 d=0.100008 t=24847
ji ge dian 	幾個點	c=1 d=1 t=24848
ji ge ren 	幾個人	c=1 d=1 t=7769
ji ge zi 	幾個字	c=1 d=1 t=8078
ji hao 	記號	c=2 d=1 t=18959
ji he 	集合	c=3 d=1 t=19912
ji hua 	計畫	c=15 d=1.06299 t=25414
ji hua bu dui 	計畫不對	c=1 d=1 t=22322
ji hui 	機會	c=1 d=1 t=7348
ji jian 	基建	c=3 d=1.00007 t=26323
ji ke 	即可	c=6 d=2.61753 t=24530
ji le 	寄了	c=4 d=1 t=21733
ji lei 	基類	c=1 d=1 t=25313
ji lu 	記錄	c=32 d=2.08443 t=26504
ji neng 	技能	c=3 d=2.20608 t=5676
ji nian qian 	幾年前	c=1 d=1 t=5217
ji qi 	及其	c=1 d=1 t=2047
ji qi 	機器	c=5 d=2.69631 t=21730
ji qi shang 	機器上	c=1 d=1 t=21671
ji qiao 	技巧	c=1 d=1 t=15587
ji qun 	集群	c=14 d=4.37804 t=25396
ji shi 	即使	c=1 d=1 t=8926
ji shi 	及時	c=20 d=0.100001 t=26016
ji shi 	幾十	c=1 d=1 t=20818
ji shu 	技術	c=2 d=1.93707 t=8020
ji shu qi 	計數器	c=4 d=2.50414 t=12934
ji suan 	計算	c=22 d=2.40625 t=23692
ji suan chu 	計算出	c=4 d=1.96079 t=20399
ji suan ji 	計算機	c=5 d=1 t=18443
ji suan le 	計算了	c=1 d=1 t=20405
ji suan ren wu 	計算任務	c=1 d=1 t=16857
ji suan yi ci 	計算一次	c=1 d=1 t=20905
ji wan ge 	幾萬個	c=2 d=1.75201 t=13218
ji wei 	即爲	c=2 d=1.03065 t=17012
ji wei 	記爲	c=7 d=2.55411 t=17068
ji xiao 	績效	c=1 d=1 t=367
ji xing 	機型	c=1 d=1 t=26252
ji xu 	繼續	c=15 d=1.25419 t=27097
ji xu fa 	繼續發	c=1 d=1 t=9768
ji xu jin xing 	繼續進行	c=1 d=1 t=12083
ji xu pao 	繼續跑	c=1 d=1 t=21756
ji xu shi 	繼續試	c=1 d=1 t=11269
ji xu shi yong 	繼續使用	c=1 d=1 t=24237
ji xu zhao 	繼續找	c=2 d=1.99501 t=18137
ji xu zhi xing 	繼續執行	c=1 d=1 t=24411
ji ya 	積壓	c=2 d=1.96561 t=19135
ji ya le 	積壓了	c=1 d=1 t=12163
ji yi 	及已	c=1 d=1 t=18965
ji yi 	記憶	c=0 d=0.1 t=21869
ji yi xiao wu 	記憶小屋	c=1 d=1 t=21870
ji you 	既有	c=1 d=0.995834 t=6386
